rank,rule,params,val_min_pr,val_fall_p,val_nfall_p,val_fall_r,val_nfall_r,val_fp,val_fn,test_min_pr,test_fall_p,test_nfall_p,test_fall_r,test_nfall_r,test_fp,test_fn
473,consecutive_count,"{""min_consecutive"": 7, ""min_count"": 7, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
474,consecutive_ratio,"{""min_consecutive"": 7, ""min_ratio"": 0.03, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
475,consecutive_ratio,"{""min_consecutive"": 7, ""min_ratio"": 0.05, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
476,consecutive_ratio,"{""min_consecutive"": 7, ""min_ratio"": 0.07, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
477,consecutive_ratio,"{""min_consecutive"": 7, ""min_ratio"": 0.09, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
478,consecutive_ratio,"{""min_consecutive"": 7, ""min_ratio"": 0.11, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
479,consecutive_ratio,"{""min_consecutive"": 7, ""min_ratio"": 0.13, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
480,consecutive_ratio,"{""min_consecutive"": 7, ""min_ratio"": 0.15, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
481,hysteresis,"{""high"": 0.475, ""low"": 0.325, ""min_consecutive"": 8}",0.8604166666666667,0.9501488095238095,0.8843683083511777,0.9594290007513148,0.8604166666666667,67,54,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
482,consecutive_count,"{""min_consecutive"": 7, ""min_count"": 10, ""threshold"": 0.35}",0.8604166666666667,0.9499252615844545,0.8731501057082452,0.9549211119459053,0.8604166666666667,67,60,0.8530612244897959,0.9475982532751092,0.9330357142857143,0.9774774774774775,0.8530612244897959,36,15
483,consecutive_count,"{""min_consecutive"": 6, ""min_count"": 10, ""threshold"": 0.375}",0.8594704684317719,0.956060606060606,0.8594704684317719,0.9481592787377912,0.8791666666666667,58,69,0.8693877551020408,0.9530102790014684,0.9260869565217391,0.9744744744744744,0.8693877551020408,32,17
484,consecutive_count,"{""min_consecutive"": 1, ""min_count"": 7, ""threshold"": 0.45}",0.8594377510040161,0.9603960396039604,0.8594377510040161,0.9474079639368895,0.8916666666666667,52,70,0.8938775510204081,0.9614814814814815,0.9279661016949152,0.9744744744744744,0.8938775510204081,26,17
485,consecutive_ratio,"{""min_consecutive"": 1, ""min_ratio"": 0.15, ""threshold"": 0.45}",0.8594377510040161,0.9603960396039604,0.8594377510040161,0.9474079639368895,0.8916666666666667,52,70,0.8938775510204081,0.9614814814814815,0.9279661016949152,0.9744744744744744,0.8938775510204081,26,17
486,consecutive_count,"{""min_consecutive"": 2, ""min_count"": 7, ""threshold"": 0.45}",0.8594377510040161,0.9603960396039604,0.8594377510040161,0.9474079639368895,0.8916666666666667,52,70,0.8938775510204081,0.9614814814814815,0.9279661016949152,0.9744744744744744,0.8938775510204081,26,17
487,consecutive_ratio,"{""min_consecutive"": 2, ""min_ratio"": 0.15, ""threshold"": 0.45}",0.8594377510040161,0.9603960396039604,0.8594377510040161,0.9474079639368895,0.8916666666666667,52,70,0.8938775510204081,0.9614814814814815,0.9279661016949152,0.9744744744744744,0.8938775510204081,26,17
488,consecutive_count,"{""min_consecutive"": 3, ""min_count"": 7, ""threshold"": 0.45}",0.8594377510040161,0.9603960396039604,0.8594377510040161,0.9474079639368895,0.8916666666666667,52,70,0.8938775510204081,0.9614814814814815,0.9279661016949152,0.9744744744744744,0.8938775510204081,26,17
489,consecutive_ratio,"{""min_consecutive"": 3, ""min_ratio"": 0.15, ""threshold"": 0.45}",0.8594377510040161,0.9603960396039604,0.8594377510040161,0.9474079639368895,0.8916666666666667,52,70,0.8938775510204081,0.9614814814814815,0.9279661016949152,0.9744744744744744,0.8938775510204081,26,17
490,consecutive_count,"{""min_consecutive"": 4, ""min_count"": 7, ""threshold"": 0.45}",0.8594377510040161,0.9603960396039604,0.8594377510040161,0.9474079639368895,0.8916666666666667,52,70,0.8979591836734694,0.962852897473997,0.9243697478991597,0.972972972972973,0.8979591836734694,25,18
491,consecutive_ratio,"{""min_consecutive"": 4, ""min_ratio"": 0.15, ""threshold"": 0.45}",0.8594377510040161,0.9603960396039604,0.8594377510040161,0.9474079639368895,0.8916666666666667,52,70,0.8979591836734694,0.962852897473997,0.9243697478991597,0.972972972972973,0.8979591836734694,25,18
492,consecutive_count,"{""min_consecutive"": 4, ""min_count"": 6, ""threshold"": 0.475}",0.8585657370517928,0.9625668449197861,0.8585657370517928,0.946656649135988,0.8979166666666667,49,71,0.9065040650406504,0.9669172932330827,0.9065040650406504,0.9654654654654654,0.9102040816326531,22,23
493,consecutive_ratio,"{""min_consecutive"": 4, ""min_ratio"": 0.13, ""threshold"": 0.475}",0.8585657370517928,0.9625668449197861,0.8585657370517928,0.946656649135988,0.8979166666666667,49,71,0.9065040650406504,0.9669172932330827,0.9065040650406504,0.9654654654654654,0.9102040816326531,22,23
494,consecutive_count,"{""min_consecutive"": 4, ""min_count"": 5, ""threshold"": 0.5}",0.8585657370517928,0.9625668449197861,0.8585657370517928,0.946656649135988,0.8979166666666667,49,71,0.9036144578313253,0.9697885196374623,0.9036144578313253,0.963963963963964,0.9183673469387755,20,24
495,consecutive_ratio,"{""min_consecutive"": 4, ""min_ratio"": 0.11, ""threshold"": 0.5}",0.8585657370517928,0.9625668449197861,0.8585657370517928,0.946656649135988,0.8979166666666667,49,71,0.9036144578313253,0.9697885196374623,0.9036144578313253,0.963963963963964,0.9183673469387755,20,24
496,topk_mean,"{""threshold"": 0.45, ""top_k"": 7}",0.8583333333333333,0.9502196193265008,0.9258426966292135,0.9752066115702479,0.8583333333333333,68,33,0.8489795918367347,0.9466089466089466,0.9541284403669725,0.984984984984985,0.8489795918367347,37,10
497,hysteresis,"{""high"": 0.5, ""low"": 0.4, ""min_consecutive"": 4}",0.8583333333333333,0.9501100513573001,0.9196428571428571,0.9729526671675433,0.8583333333333333,68,36,0.8693877551020408,0.9534883720930233,0.9551569506726457,0.984984984984985,0.8693877551020408,32,10
498,consecutive_count,"{""min_consecutive"": 6, ""min_count"": 8, ""threshold"": 0.375}",0.8583333333333333,0.9495548961424333,0.8898488120950324,0.9616829451540195,0.8583333333333333,68,51,0.8530612244897959,0.9476744186046512,0.9372197309417041,0.978978978978979,0.8530612244897959,36,14
499,hysteresis,"{""high"": 0.55, ""low"": 0.35, ""min_consecutive"": 8}",0.8582834331337326,0.9618320610687023,0.8582834331337326,0.946656649135988,0.8958333333333334,50,71,0.9065040650406504,0.9669172932330827,0.9065040650406504,0.9654654654654654,0.9102040816326531,22,23
500,consecutive_count,"{""min_consecutive"": 1, ""min_count"": 11, ""threshold"": 0.375}",0.8577154308617234,0.9603658536585366,0.8577154308617234,0.946656649135988,0.8916666666666667,52,71,0.8653061224489796,0.9513274336283186,0.9098712446351931,0.9684684684684685,0.8653061224489796,33,21
501,consecutive_count,"{""min_consecutive"": 2, ""min_count"": 11, ""threshold"": 0.375}",0.8577154308617234,0.9603658536585366,0.8577154308617234,0.946656649135988,0.8916666666666667,52,71,0.8653061224489796,0.9513274336283186,0.9098712446351931,0.9684684684684685,0.8653061224489796,33,21
